node	species
MICOW713-13	Sabatinca demissa
MICOW018-09	Sabatinca aenea
MICOW016-09	Sabatinca doroxena
MICOW026-09	Sabatinca quadrijuga
LTOL1227-11	Sabatinca chalcophanes
MICOW019-09	Sabatinca barbarica
MICOW040-09	Sabatinca calliarcha
MICOW698-13	Sabatinca incongruella
MICOW038-09	Sabatinca lucilia
MICOW436-10	Sabatinca kristenseni
MICOW567-11	Agrionympha capensis
MICOW570-11	Agrionympha fuscoapicella
CGUKC1039-09	Micropterix tunbergella
MICOW183-09	Micropterix wockei
LASTS399-14	Micropterix gaudiella
MICOW332-10	Micropterix ibericella
PHLAJ374-14	Micropterix igaloensis
LEASY717-22	Micropterix trifasciella
BGSNL2258-24	Micropterix tuscaniensis
BGSNL2257-24	Micropterix tuscaniensis
BGSNL2261-24	Micropterix uxoria
BGSNL2239-24	Micropterix cypriensis
BGSNL2235-24	Micropterix aglaella
BGSNL2247-24	Micropterix minimella
BGSNL2256-24	Micropterix renatae
BGSNL2242-24	Micropterix emiliensis
BGSNL2241-24	Micropterix emiliensis
BGSNL2250-24	Micropterix montanella
BGSNL2249-24	Micropterix montanella
LEASY715-22	Micropterix fenestrellensis
MNAB1626-18	Micropterix facetella
MICOW461-10	Micropterix vulturensis
LPALE3607-23	Micropterix kardamylensis
DEPAL884-23	Micropterix kardamylensis
AFBN176-25	Micropterix calthella
DEEUR1868-18	Micropterix schaefferi
LEASV1416-19	Micropterix rablensis
LEFIG229-10	Micropterix mansuetella
DEPAL903-23	Micropterix aureofasciella
BCLEP692-23	Micropterix trinacriella
MICOW762-13	Micropterix amsella
FGMLF270-15	Micropterix osthelderi
MICOW330-10	Micropterix herminiella
MICOW341-10	Micropterix maschukella
BCLEP261-17	Micropterix zangheriella
FGMLK104-17	Micropterix allionella
BCLEP703-23	Micropterix hartigi
BHULP531-22	Micropterix sp.
GBAAN26378-25	Micropterix sp.
BBIOP2662-24	Micropterix granatensis
LEATH241-14	Micropterix stuebneri
BCLEP689-23	Micropterix cassinella
BCLEP691-23	Micropterix cassinella
MICOW178-09	Micropterix erctella
ABOLA595-14	Micropterix aureatella
DEPAL882-23	Micropterix corcyrella
DEPAL867-23	Micropterix corcyrella
MICOW163-09	Micropterix myrtetella
LPALE3417-23	Micropterix myrtetella
LEASX226-21	Micropterix myrtetella
LEATH240-14	Micropterix isobasella
BFMED007-25	Micropterix aruncella
PHLAG114-12	Micropterix aruncella
FBLMZ595-12	Micropterix aureoviridella
DEPAL898-23	Micropterix zagoriensis
MICOW474-10	Micropterix klimeschi
DEPAL886-23	Micropterix klimeschi
GBABA1381-26	Austromartyria porphyrodes
MICOW065-09	Epimartyria pardella
BBLPD916-10	Epimartyria bimaculella
GBCAB40174-24	Epimartyria auricrinella
OPPOC2965-17	Epimartyria auricrinella
MLPJ046-11	Paramartyria semifasciella
MLPJ048-11	Paramartyria semifasciella
MLPJ044-11	Paramartyria immaculatella
MLPJ047-11	Paramartyria cf. semifasciella
MLPJ006-11	Issikiomartyria nudata
MLPJ007-11	Issikiomartyria nudata
MLPJ008-11	Issikiomartyria nudata
MLPJ001-11	Issikiomartyria sp.
MLPJ002-11	Issikiomartyria sp.
MLPJ003-11	Issikiomartyria distincta
MLPJ005-11	Issikiomartyria bisegmentata
MLPJ010-11	Issikiomartyria cf. plicata
MLPJ004-11	Issikiomartyria akemiae
MLPJ009-11	Issikiomartyria plicata
MLPJ012-11	Kurokopteryx cf. dolichocerata
MLPJ015-11	Kurokopteryx cf. dolichocerata
MLPJ013-11	Kurokopteryx cf. dolichocerata
MLPJ043-11	Palaeomicroides sp.
MLPJ027-11	Neomicropteryx matsumurana
GBMIN31602-13	Neomicropteryx bifurca
GBAAZ26679-24	Neomicropteryx bifurca
MLPJ022-11	Neomicropteryx cornuta
MLPJ023-11	Neomicropteryx elongata
GBMIN31743-13	Neomicropteryx nipponensis
MLPJ041-11	Neomicropteryx redacta
MLPJ025-11	Neomicropteryx cf. kazusana
MLPJ024-11	Neomicropteryx kazusana
LNAUT3364-15	Schistonoea fulvidella
LEFIA1245-10	Neopseustis meyricki
LNAUT038-14	Neopseustis meyricki
LNAUT030-14	Neopseustis archiphenax
GBAAW73404-24	Neopseustis gaoligongensis
GBAAZ17983-24	Neopseustis fanjingshana
GBAAZ38283-24	Neopseustis rectagnatha
LNAUT026-14	Apoplania penai
LNAUT023-14	Apoplania penai
LNAUT021-14	Apoplania chilensis
LNAUT041-14	Synempora andesae
BLPAA3927-17	cosmoJanzen01 Janzen518
BLPDN667-10	cosmoJanzen01 Janzen788
BLPDR333-10	cosmoJanzen01 Janzen787
BLPDO120-10	cosmoJanzen01 Janzen1002
BLPEE7292-14	cosmoJanzen01 Janzen68
MHMYR1868-12	cosmoJanzen01 Janzen863
CNCLA1911-13	Periploca laeta
CNSLP498-13	Periploca nigra
MNAI1003-16	Periploca dipapha
BBLPD595-10	Periploca hostiata
MNAI1002-16	Periploca mimula
CNCLA1906-13	Periploca hortatrix
BBLOC1511-11	Periploca repanda
BBUSA276-09	Walshia miscecolorella
LOCBB484-06	Walshia miscecolorella
LILLA951-11	Walshia miscecolorella
LOCBB816-06	Walshia miscecolorella
LBCG1938-09	Walshia miscecolorella
MNAG741-08	Walshia miscecolorella
LILLA751-11	Walshia miscecolorella
CNGRD1061-12	Walshia miscecolorella
CIOSL2013-24	Walshia miscecolorella
CCBAC043-14	Walshia miscecolorella
BLPAA13530-18	Walshia BioLep1026
MNAL564-10	Walshia dispar
MNAO474-11	Walshia particornella
BBLOB1348-11	Ithome curvipunctella
NGSFT2428-16	Ithome aquila
NGSFT2396-16	Nepotula secura
EPNG9565-16	ChrysopeleiinaeGEN sp. ACL6336
LASTS744-15	Isidiella nickerlii
BGSNL2106-24	Isidiella divitella
BBIOP2754-24	Isidiella divitella
BGSNL2104-24	Isidiella divitella
GBGL26620-19	Hyposmocoma turdella
GBGL26537-19	Hyposmocoma sp. 110 WPH-2014
GBGL26613-19	Hyposmocoma sp. 97 WPH-2014
GBGL26600-19	Hyposmocoma sp. 84 WPH-2014
GBGL26584-19	Hyposmocoma sp. 62 WPH-2014
GBMIN79309-17	Hyposmocoma oolea
GBMIN79308-17	Hyposmocoma oolea
GBGL26536-19	Hyposmocoma sp. 109 WPH-2014
GBMIN79319-17	Hyposmocoma sp. 86 WPH-2017
GBGL26599-19	Hyposmocoma sp. 83 WPH-2014
HYPOS299-23	Hyposmocoma metrosiderella
HYPOS025-23	Hyposmocoma carnivora
HYPOS014-23	Hyposmocoma carnivora
HYPOS176-23	Hyposmocoma nihoa
HYPOS208-23	Hyposmocoma papahanau
HYPOS213-23	Hyposmocoma elegantula
HYPOS041-23	Hyposmocoma oxypetra
HYPOS314-23	Hyposmocoma kaikuono
HYPOS055-23	Hyposmocoma nohomaalewa
HYPOS062-23	Hyposmocoma nohomaalewa
HYPOS102-23	Hyposmocoma nohomaalewa
HYPOS243-23	Hyposmocoma auropurpurea
HYPOS038-23	Hyposmocoma waihohonu
HYPOS042-23	Hyposmocoma ipowainui
HYPOS293-23	Hyposmocoma aumakuawai
HYPOS104-23	Hyposmocoma alliterata
HYPOS114-23	Hyposmocoma alliterata
HYPOS110-23	Hyposmocoma alliterata
HYPOS109-23	Hyposmocoma alliterata
HYPOS129-23	Hyposmocoma alliterata
HYPOS203-23	Hyposmocoma makawao
GBMIN79321-17	Hyposmocoma waauhi
HABA140-22	Hyposmocoma palmifera
HYPOS195-23	Hyposmocoma empedota
HYPOS191-23	Hyposmocoma empedota
HYPOS279-23	Hyposmocoma empedota
HYPOS319-23	Hyposmocoma kapakai
HYPOS179-23	Hyposmocoma divisa
HYPOS200-23	Hyposmocoma kikokolu
HYPOS228-23	Hyposmocoma moopalikea
HYPOS198-23	Hyposmocoma sagittata
HYPOS287-23	Hyposmocoma opuulaau
HYPOS230-23	Hyposmocoma tantala
HYPOS009-23	Hyposmocoma saccophora
HYPOS048-23	Hyposmocoma saccophora
HYPOS226-23	Hyposmocoma saccophora
HYPOS192-23	Hyposmocoma saccophora
HYPOS122-23	Hyposmocoma saccophora
HYPOS289-23	Hyposmocoma saccophora
HYPOS004-23	Hyposmocoma saccophora
HABA219-22	Hyposmocoma kamaula
HYPOS160-23	Hyposmocoma kamaula
HYPOS300-23	Hyposmocoma kamaula
GBGL26498-19	Hyposmocoma nebulifera
HYPOS107-23	Hyposmocoma nebulifera
HYPOS106-23	Hyposmocoma nebulifera
HYPOS044-23	Hyposmocoma nebulifera
HYPOS008-23	Hyposmocoma nebulifera
GBGL26611-19	Hyposmocoma sp. 95 WPH-2014
GBGL26551-19	Hyposmocoma sp. 122 WPH-2014
GBGL26545-19	Hyposmocoma sp. 118 WPH-2014
GBGL26570-19	Hyposmocoma sp. 32 WPH-2014
GBGL26475-19	Hyposmocoma laysanensis
GBGL26544-19	Hyposmocoma sp. 117 WPH-2014
GBGL26471-19	Hyposmocoma kaupo
GBGL26503-19	Hyposmocoma nephelodes
HYPOS193-23	Hyposmocoma nephelodes
HYPOS274-23	Hyposmocoma nephelodes
GBGL26557-19	Hyposmocoma sp. 131 WPH-2017
GBMIN79306-17	Hyposmocoma mahoepo
GBMIN79305-17	Hyposmocoma mahoepo
GBGL20644-17	Hyposmocoma kahamanoa
GBGL26529-19	Hyposmocoma sp. 102 WPH-2014
GBGL26598-19	Hyposmocoma sp. 82 WPH-2014
GBGL26546-19	Hyposmocoma sp. 119 WPH-2014
GBGL26607-19	Hyposmocoma sp. 91 WPH-2014
GBGL26535-19	Hyposmocoma sp. 108 WPH-2014
GBGL26542-19	Hyposmocoma sp. 115 WPH-2014
GBGL26588-19	Hyposmocoma sp. 73 WPH-2014
GBGL26581-19	Hyposmocoma sp. 59 WPH-2014
GBGL26530-19	Hyposmocoma sp. 103 WPH-2014
GBGL26604-19	Hyposmocoma sp. 88 WPH-2014
GBGL26579-19	Hyposmocoma sp. 55 WPH-2014
GBGL26591-19	Hyposmocoma sp. 76 WPH-2014
GBGL26606-19	Hyposmocoma sp. 90 WPH-2014
GBGL26587-19	Hyposmocoma sp. 72 WPH-2014
GBMIN79313-17	Hyposmocoma sp. 125 WPH-2017
GBGL26543-19	Hyposmocoma sp. 116 WPH-2014
GBGL26504-19	Hyposmocoma nipholoncha
GBGL26458-19	Hyposmocoma exornata
GBGL26550-19	Hyposmocoma sp. 121 WPH-2014
GBGL26592-19	Hyposmocoma sp. 77 WPH-2014
GBGL26601-19	Hyposmocoma sp. 85 WPH-2014
GBGL26540-19	Hyposmocoma sp. 113 WPH-2014
GBGL26625-19	Hyposmocoma wailua
GBGL26463-19	Hyposmocoma kahaiao
GBMIN79314-17	Hyposmocoma sp. 126 WPH-2017
GBGL26566-19	Hyposmocoma sp. 16 WPH-2014
GBGL26548-19	Hyposmocoma sp. 120 WPH-2014
GBGL26523-19	Hyposmocoma pupumoehewa
GBGL26586-19	Hyposmocoma sp. 71 WPH-2014
GBGL26528-19	Hyposmocoma sp. 101 WPH-2014
GBGL26621-19	Hyposmocoma uhauiole
GBGL26597-19	Hyposmocoma sp. 81 WPH-2014
GBGL26533-19	Hyposmocoma sp. 106 WPH-2014
GBGL26552-19	Hyposmocoma sp. 123 WPH-2014
GBGL26610-19	Hyposmocoma sp. 94 WPH-2014
GBMIN79317-17	Hyposmocoma sp. 53 WPH-2017
GBGL26605-19	Hyposmocoma sp. 89 WPH-2014
GBGL26608-19	Hyposmocoma sp. 92 WPH-2014
GBGL26539-19	Hyposmocoma sp. 112 WPH-2014
GBGL26585-19	Hyposmocoma sp. 66 WPH-2014
GBGL26573-19	Hyposmocoma sp. 44 WPH-2014
GBGL26614-19	Hyposmocoma sp. 98 WPH-2014
GBGL26526-19	Hyposmocoma sp. 10 WPH-2014
GBGL26590-19	Hyposmocoma sp. 75 WPH-2014
GBGL26589-19	Hyposmocoma sp. 74 WPH-2014
GBGL26594-19	Hyposmocoma sp. 79 WPH-2014
GBGL26457-19	Hyposmocoma ekemamao
GBGL26492-19	Hyposmocoma mediella
GBGL26576-19	Hyposmocoma sp. 47 WPH-2014
GBGL26575-19	Hyposmocoma sp. 45 WPH-2014
GBGL26595-19	Hyposmocoma sp. 8 WPH-2014
GBMIN79316-17	Hyposmocoma sp. 136 WPH-2017
GBMIN79302-17	Hyposmocoma hooilo
GBGL26603-19	Hyposmocoma sp. 87 WPH-2014
GBGL26602-19	Hyposmocoma sp. 86 WPH-2014
GBMIN79300-17	Hyposmocoma anoai
GBGL26580-19	Hyposmocoma sp. 58 WPH-2014
GBGL26532-19	Hyposmocoma sp. 105 WPH-2014
GBGL26527-19	Hyposmocoma sp. 100 WPH-2014
GBGL26517-19	Hyposmocoma opuumaloo
GBGL26534-19	Hyposmocoma sp. 107 WPH-2014
GBGL26593-19	Hyposmocoma sp. 78 WPH-2014
GBGL26553-19	Hyposmocoma sp. 124 WPH-2014
GBGL26497-19	Hyposmocoma mokumana
GBMIN79303-17	Hyposmocoma kanaloa
GBGL26615-19	Hyposmocoma sp. 99 WPH-2014
GBGL26612-19	Hyposmocoma sp. 96 WPH-2014
GBGL26455-19	Hyposmocoma eepawai
HYPOS018-23	Hyposmocoma eepawai
GBGL26541-19	Hyposmocoma sp. 114 WPH-2014
GBGL26538-19	Hyposmocoma sp. 111 WPH-2014
GBGL26571-19	Hyposmocoma sp. 37 WPH-2014
GBMIN79311-17	Hyposmocoma pahanalo
LNAUV1454-17	Pristen corusca
PMANL4838-15	Microzestis inelegans
PMANL4833-15	Herlinda iota
PMANL4831-15	Herlinda fasciola
NGSFT2424-16	Antequera acertella
ANICW1343-11	Scaeosopha mitescens
GBAAY83808-24	Scaeosopha sp. NKU WQY0086
LASTS580-14	Eteobalea anonymella
LEASW926-20	Eteobalea anonymella
FGMLA148-12	Eteobalea anonymella
MICRR111-17	Eteobalea anonymella
MICRR109-17	Eteobalea anonymella
DEPAL383-21	Eteobalea intermediella
IBILP1173-19	Eteobalea intermediella
IBILP597-19	Eteobalea intermediella
DEPAL385-21	Eteobalea intermediella
LEATJ182-15	Eteobalea serratella
BBIOP2752-24	Eteobalea beata
DEPAL705-22	Eteobalea dohrnii
LEUAE817-12	Eteobalea sumptuosella
BBIOP3405-24	Eteobalea sumptuosella
LEPWP5037-25	Eteobalea sumptuosella
BCLEP4075-23	Eteobalea sumptuosella
FGMLH941-16	Eteobalea teucrii
DNMPC561-18	Eteobalea tririvella
LEASZ716-22	Eteobalea tririvella
MICRR126-17	Eteobalea tririvella
MICRR047-16	Eteobalea eurinella
DEEUR704-16	Eteobalea bernhardiella
FBLMW153-10	Eteobalea albiapicella
BGSNL2092-24	Eteobalea alypella
LON6882-18	Eteobalea isabellella
LEASV466-19	Eteobalea isabellella
IBILP2054-20	Eteobalea isabellella
LEASW1480-20	Eteobalea isabellella
BCLEP4059-23	Eteobalea isabellella
MNAB005-07	Eteobalea sexnotella
ASHYC5332-12	Ecballogonia Janzen403
ANICW1312-11	Morphotica mirifica
ANICW1313-11	Morphotica mirifica
ANICW1311-11	Morphotica mirifica
ANICW1708-11	Pechyptila rhodocharis
BLPAA8024-17	Afeda BioLep2072
ILECA014-24	Bifascia nigralbella
BLPDK1658-09	cosmoBioLep01 BioLep408
BLPDU969-11	cosmoBioLep01 BioLep1234
BLPDU038-11	cosmoBioLep01 BioLep1021
BLPEF697-12	cosmoBioLep01 BioLep1021
BLPDH560-09	cosmoBioLep01 BioLep791
BLPDM2228-10	cosmoBioLep01 BioLep03
BLPDI597-09	cosmoBioLep01 BioLep1457
BLPDX909-11	cosmoBioLep01 BioLep1475
BLPDT1189-10	cosmoBioLep01 BioLep04
BLPDK396-09	cosmoBioLep01 BioLep15
BLPEG2167-14	cosmoBioLep01 BioLep1023
BLPDQ143-10	cosmoBioLep01 BioLep8707
BLPDK123-09	cosmoBioLep01 BioLep782
BLPAA4212-17	cosmoBioLep01 BioLep1017
BLPAA957-17	cosmoBioLep01 BioLep35
BLPDI136-09	cosmoBioLep01 BioLep16
BLPDN738-10	cosmoBioLep01 BioLep790
BLPDH653-09	cosmoBioLep01 BioLep1456
BLPDM2053-10	cosmoBioLep01 BioLep1493
BLPDM688-10	cosmoBioLep01 BioLep1476
BLPDR807-10	cosmoBioLep01 BioLep1068
BLPEE2139-12	cosmoBioLep01 BioLep508
BLPDL1845-10	cosmoBioLep01 BioLep631
BLPDW502-11	cosmoBioLep01 BioLep1465
BLPDQ130-10	cosmoBioLep01 BioLep1005
BLPDU995-11	cosmoBioLep01 BioLep1028
BLPDL1686-10	cosmoBioLep01 BioLep1116
GMCRC1018-13	cosmoBioLep01 BioLep3431
BLPDR934-10	cosmoBioLep01 BioLep1006
BLPDE769-09	cosmoBioLep01 BioLep1018
BLPDL1592-10	cosmoBioLep01 BioLep1391
BLPDR674-10	cosmoBioLep01 BioLep1013
BLPEE2783-14	cosmoBioLep01 BioLep1013
BLPDM1085-10	cosmoBioLep01 BioLep1477
BLPDN1125-10	cosmoBioLep01 BioLep1452
BLPDM841-10	cosmoBioLep01 BioLep1024
GMCRI337-13	cosmoBioLep01 BioLep1024
BLPDH492-09	cosmoBioLep01 BioLep758
BLPAA8003-17	cosmoBioLep01 BioLep1025
BLPDX092-11	cosmoBioLep01 BioLep1494
BLPDT681-10	cosmoBioLep01 BioLep02
BLPDL1333-10	cosmoBioLep01 BioLep5726
PLFEQ063-21	cosmoBioLep01 BioLep6231
BLPDM620-10	cosmoBioLep01 BioLep1019
BLPDT704-10	cosmoBioLep01 BioLep1020
BLPDY264-11	cosmoBioLep01 BioLep1020
BLPDK1620-09	cosmoBioLep01 BioLep783
CRALA33799-21	cosmoBioLep01 BioLep783
BLPEE1505-12	cosmoBioLep01 BioLep06
BLPDG848-09	cosmoBioLep01 BioLep354
CRSRA6850-22	cosmoBioLep01 BioLep2138
BLPDG205-09	cosmoBioLep01 BioLep219
BLPDL1846-10	cosmoMalaise01 MalaiseMetz1051
CRMBA2214-24	cosmoMalaise01 Malaise513
PLEAU306-19	cosmoMalaise01 Malaise5482
CRLSB19326-24	cosmoMalaise01 Malaise1742
CRBAD5574-23	cosmoMalaise01 Malaise5928
PLBBC285-19	cosmoMalaise01 Malaise6634
PLCEM068-20	cosmoMalaise01 Malaise1743
CRBTA20462-24	cosmoMalaise01 Malaise1743
CRCCD354-23	cosmoMalaise01 Malaise9410
CRCCD1170-23	cosmoMalaise01 Malaise9306
PLKBY058-20	cosmoMalaise01 Malaise8888
PLGAE161-19	cosmoMalaise01 Malaise2982
GMCOO116-15	cosmoMalaise01 Malaise9576
JICCL945-16	cosmoMalaise01 Malaise6659
JICCY181-16	cosmoMalaise01 Malaise7254
JICCX982-16	cosmoMalaise01 Malaise7543
PLNDK912-20	cosmoMalaise01 Malaise6416
BLPDL1590-10	cosmoMalaise01 Malaise574
GMCRA1254-13	cosmoMalaise01 Malaise7811
PLXAD151-20	cosmoMalaise01 Malaise408
PLAEE551-21	cosmoMalaise01 Malaise6950
LEUAE786-12	Alloclita cerritella
LEUAE797-12	Alloclita delozona
COSM064-18	Alloclita canariensis
COSM069-18	Alloclita francoeuriae
MICRR151-17	Alloclita mongolica
GMIHJ741-19	Alloclita recisella
DEPAL910-23	Alloclita recisella
MICRR150-17	Alloclita haifensis
LEPWP5008-25	Alloclita deprinsi
LEPWP2338-24	Alloclita deprinsi
BBLOB415-11	Euclemensia bassettella
DEEUR2002-18	Pancalia schwarzella
FBLMT936-09	Pancalia leuwenhoekella
DTNHM12683-24	Pancalia leuwenhoekella
BCLEP4051-23	Pancalia nodosella
LTOL967-08	Pancalia latereilella
BBLOE893-12	Stilbosis quadricustatella
LNAUV1483-17	Stilbosis victor
LNAUV1477-17	Stilbosis stipator
ELPCG8376-17	Stilbosis ostryaeella
CMAZA672-10	Stilbosis ornatrix
MNAG738-08	Stilbosis venifica
LGSM292-04	Stilbosis tesquella
LQAC280-07	Stilbosis tesquella
MNAG764-08	Stilbosis nubila
LNAUS5463-13	Stilbosis nubila
FGMLA018-12	Sorhagenia lophyrella
ABOLA360-14	Sorhagenia rhamniella
CNRMF2882-12	Sorhagenia baucidis
ARISE1860-26	Sorhagenia janiszewskae
PMANL1520-11	Bifascioides leucomelanella
ILECA509-24	Ascalenia viviparella
LEUAE814-12	Ascalenia callynella
BSNTN336-23	Ascalenia vanella
DEPAL440-21	Gisilia stereodoxa
ANICW1783-11	Cholotis semnostola
INSSD204-20	Cholotis semnostola
BBLPD821-10	Cosmopterix scirpicola
BBLPD588-10	Cosmopterix abdita
ALSTA1202-17	Cosmopterix abdita
MDHQD2869-25	Cosmopterix teligera
CNPEE1119-14	Cosmopterix clemensella
CNCLA1912-13	Cosmopterix clemensella
CNSLF441-12	Cosmopterix clemensella
BBLOD1921-11	Cosmopterix nitens
LTOL1175-11	Cosmopterix fulminella
CWLMA379-15	Cosmopterix athesiae
PHLAB004-10	Cosmopterix athesiae
COSM002-13	Cosmopterix chalybaeella
LEAST053-17	Cosmopterix orichalcea
COSM001-13	Cosmopterix opulenta
EHL839-12	Cosmopterix molybdina
LNAUV1548-17	Cosmopterix inopis
LNAUU735-15	Cosmopterix phyladelphella
ANICB891-07	Cosmopterix heliactis
MNAA244-07	Cosmopterix ebriola
ILECA006-24	Cosmopterix sibirica
BBLPA730-10	Cosmopterix pulchrimella
MICRR245-18	Cosmopterix schmidiella
ARISE1855-26	Cosmopterix lienigiella
MNAQ1415-18	Cosmopterix yvani
PMANL4640-15	Cosmopterix diandra
GBAAG5201-25	Cosmopterix sp. 1 SK-2019
CGUKC701-09	Cosmopterix zieglerella
ANICW1706-11	Cosmopterix chlorochalca
BSNTN023-23	Cosmopterix coryphaea
GMGRM6433-23	Cosmopterix coryphaea
ILECA007-24	Cosmopterix pararufella
BSNTN335-23	Cosmopterix pararufella
ASMIJ44782-24	Cosmopterix crassicervicella
LILLA714-11	Cosmopterix floridanella
KSLEP485-15	Cosmopterix floridanella
LEASS593-17	Cosmopterix feminella
GBAAG5200-25	Cosmopterix sp. 2 SK-2019
SSKJC882-15	Cosmopterix turbidella
ARISE1857-26	Cosmopterix scribaiella
ABOLA319-14	Cosmopterix scribaiella
FGMLI060-17	Cosmopterix scribaiella
INSSD164-20	Cosmopterix scribaiella
GBAAG5202-25	Cosmopterix scribaiella
EMFLO1592-22	Cosmopterix madeleinae
MNAQ1417-18	Cosmopterix galapagosensis
MNAQ1347-18	Cosmopterix galapagosensis
AGAKS2007-17	Cosmopterix montisella
CASBI3018-26	Cosmopterix montisella
CIOSJ30571-24	Cosmopterix montisella
CUICA063-19	Perimede erransella
MNAI478-09	Perimede circitor
CNCLA4010-13	Perimede falcata
MNAS3545-22	Siskiwitia alticolans
PMANL4846-15	Semolina leucotricha
BBUSA704-09	Teladoma helianthi
PMANL4829-15	Asymphorodes trichogramma
NGSFT2546-16	Asymphorodes porphyrarcha
EPNG2095-10	Syntomaula xanthofasciata
EPNG2101-10	Syntomaula flavoangulata
PAPUA156-12	Syntomaula sp. ACD3571
EPNG2115-10	Syntomaula sp. AAN2760
EPNG11279-19	Syntomaula sp. ACD3489
CATS228-10	Syntomaula sp. AAL8374
EPNG2105-10	Syntomaula sp. AAN2759
MNAG770-08	Anoncia naclia
BBUSA859-09	Anoncia sp.
BBLOD1965-11	Anoncia sphacelina
MNAB1375-18	Anoncia longa
MNAG730-08	Anoncia longa
MNAR754-16	Anoncia longa
BLPEF3209-13	Anoncia diveni
LNAUX898-18	Anoncia diveni
MNAE1173-17	Anoncia fregeis
CIOSK6580-24	Anoncia fregeis
PHAUS16781-26	Anatrachyntis badia
ASMIJ33354-24	Anatrachyntis rileyi
FRUT031-09	Anatrachyntis sp. AAG1157
LNAUZ2996-22	Anatrachyntis lunulifera
LEUAE806-12	Anatrachyntis vanharteni
LNAUZ2999-22	Anatrachyntis megacentra
LEVIE345-12	Anatrachyntis japonica
PMANL4817-15	Anatrachyntis cyma
IBILP1493-19	Coccidiphila danilevskyi
BCLEP4148-23	Coccidiphila camai
LEUAE799-12	Coccidiphila nivea
NGSFT2541-16	Coccidiphila ledereriella
BBLOE946-12	Melanocinclis lineigera
LNAUV1570-17	Melanocinclis nigrilineella
MNAP1201-13	Melanocinclis vibex
LNAUV1572-17	Melanocinclis vibex
MNAP1195-13	Melanocinclis sparsa
ANICW1101-11	Macrobathra ceraunobola
ANICW1100-11	Macrobathra ceraunobola
NSWHK260-10	Macrobathra rhythmodes
ANICW1079-11	Macrobathra porphyrea
