node	species
GBGL20177-15	Pseudobiston pinratanai
LNAUX588-18	Heracula discivitta
GMLC413-11	Tridentaforma fuscoleuca
LNAUX106-18	Tridentaforma fuscoleuca
BCMIN3353-23	Tridentaforma browncopper
GWOTB344-12	Epimactis suffusella
GBAAZ26846-24	Epimactis crambalea
GBAAZ3694-24	Eonympha fanjingshana
GMRSA4594-14	Rhizosthenes falciformis
DEEUR2225-19	Letogenes festalis
ANICG226-10	Metaprotus sp. ANIC1
INSSD254-20	Epimarptis hiranoi
GBAAZ43138-24	Epimarptis hiranoi
ANICF971-10	Tonza purella
GBGL41873-19	Tonza citrorrhoa
LEPO021-24	Heterogynis canalensis
BDE657-20	Heterogynis cynetes
LEFIA1167-10	Heterogynis cf. penella
PHLAE452-11	Heterogynis valdeblorensis
BDE648-20	Heterogynis zikici
BDE652-20	Heterogynis segurana
BDE650-20	Heterogynis sondereggeri
BDE649-20	Heterogynis penella
PHLAH828-12	Heterogynis yerayi
BDE654-20	Heterogynis affinis
ANICG229-10	Agathiphaga queenslandensis
LNAUT601-14	Agathiphaga vitiensis
LEFIA1165-10	Heterobathmia pseuderiocrania
LEFIA1232-10	Mnesarchaea acuta
LTOLB644-09	Mnesarchaea paracosma
LEASZ850-22	Ustyurtia charynica
LQAC359-07	Schreckensteinia sp.
RWWC762-11	Schreckensteinia festaliella
BCLEP4091-23	Schreckensteinia festaliella
HPPPI145-13	Schreckensteinia festaliella
HPPPD594-13	Schreckensteinia festaliella
LEFID277-10	Schreckensteinia festaliella
NBGW9255-25	Schreckensteinia festaliella
CNCLA416-13	Schreckensteinia felicella
CISSD6725-24	Schreckensteinia felicella
LTOL1141-11	Schreckensteinia sp. 3
CIOSG26794-23	Acanthopteroctetes unifascia
MNAD992-11	Acanthopteroctetes aurulenta
LNAUT644-14	Acanthopteroctetes tripunctata
LNAUT642-14	Acanthopteroctetes bimaculata
LRMNH007-15	Acanthopteroctetes bimaculata
LEFIA1171-10	Himantopterus fuscinervis
GWOSV192-11	Himantopterus AH01GhCa
GWOSV191-11	Himantopterus AH01GhCa
LNAUV1302-17	Thermochrous fumicincta
LNAUV1903-17	Semioptila dolicholoba
SUBHB2381-22	Semioptila sp. TBO5
LNAUY614-19	Semioptila flavidiscata
SUBHB2379-22	Semioptila sp. TBO3
LNAUV1300-17	Thymara flavescens
ANICG427-10	Lophocorona astiptica
ANICG232-10	Lophocorona pediasia
LEFIA987-10	Andesiana lamellata
MNAN236-10	Andesiana lamellata
MNAN237-10	Andesiana lamellata
HELB044-19	Andesiana lamellata
LAUSM019-09	Carthaea saturnioides
GWOR5114-09	Prodidactis AH01Tz
GBGL41797-19	Prodidactis mystica
SPMNP096-07	Ratarda excellens
SPMNP095-07	Ratarda sp.
MICOW501-11	Aureopterix micans
MICOW073-09	Aureopterix sterops
LTOL1228-11	Zealandopterix zonodoxa
MICOW058-09	Tasmantrix nigrocornis
MICOW063-09	Tasmantrix lunulata
MICOW062-09	Tasmantrix fragilis
MICOW109-09	Tasmantrix thula
ANICP293-10	Tasmantrix thula
MICOW011-09	Sabatinca aurella
MICOW425-10	Sabatinca chrysargyra
MICOW678-13	Sabatinca chrysargyra
MICOW013-09	Sabatinca ianthina
MICOW015-09	Sabatinca ianthina
MICOW101-09	Sabatinca heighwayi
MICOW704-13	Sabatinca heighwayi
